Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity
pointnetpp,case_k_008_right,0.001,30,unitcube,True,mse,0.028493981808423996,0.11497289687395096,0.3652708828449249
pointnetpp,case_m_006_left,0.001,30,unitcube,True,mse,0.021710414439439774,0.10540245473384857,0.6080159544944763
pointnetpp,case_w_027_right,0.001,30,unitcube,True,mse,0.037269920110702515,0.13506785035133362,0.2633253335952759
pointnetpp,case_w_038_left,0.001,30,unitcube,True,mse,0.0527147576212883,0.15975280106067657,0.41722121834754944
pointnetpp,bifurication,0.001,30,unitcube,True,mse,0.0062881652265787125,0.053242478519678116,0.8564870357513428
pointnetpp,aneurysm2,0.001,30,unitcube,True,mse,0.013611185364425182,0.07903116196393967,0.11662988364696503
pointnetpp,aneurysm1,0.001,30,unitcube,True,mse,0.016880417242646217,0.0960804745554924,0.200749471783638
pointnetpp,cylinder,0.001,30,unitcube,True,mse,0.0039382497780025005,0.03811047971248627,0.9482505917549133
pointnetpp,case_k_003_left,0.001,30,unitcube,False,mse,0.12809735536575317,0.1980181187391281,0.252585768699646
pointnetpp,case_k_008_right,0.001,30,unitcube,False,mse,0.028542587533593178,0.11625397205352783,0.34268152713775635
pointnetpp,case_m_006_left,0.001,30,unitcube,False,mse,0.025314990431070328,0.11370567232370377,0.5528241991996765
pointnetpp,case_w_027_right,0.001,30,unitcube,False,mse,0.037959884852170944,0.13780656456947327,0.24102479219436646
pointnetpp,case_w_038_left,0.001,30,unitcube,False,mse,0.055625103414058685,0.16355176270008087,0.3841186463832855
pointnetpp,bifurication,0.001,30,unitcube,False,mse,0.0055296169593930244,0.05633373558521271,0.7884147763252258
pointnetpp,aneurysm2,0.001,30,unitcube,False,mse,0.011744829826056957,0.07895570993423462,0.11250123381614685
pointnetpp,aneurysm1,0.001,30,unitcube,False,mse,0.015388249419629574,0.09530814737081528,0.18330034613609314
pointnetpp,cylinder,0.001,30,unitcube,False,mse,0.004820556379854679,0.051400501281023026,0.8811225295066833
pointnetpp,case_k_003_left,0.001,30,grid64,False,mse,0.16610781848430634,0.2820814847946167,0.6208908557891846
pointnetpp,case_k_008_right,0.001,30,grid64,False,mse,0.064735047519207,0.1903768628835678,0.7598949074745178
pointnetpp,case_m_006_left,0.001,30,grid64,False,mse,0.02886873297393322,0.136291041970253,0.8836562633514404
pointnetpp,case_w_027_right,0.001,30,grid64,False,mse,0.05398697778582573,0.17949146032333374,0.7791666388511658
pointnetpp,case_w_038_left,0.001,30,grid64,False,mse,0.06643787771463394,0.20200994610786438,0.7779161334037781
pointnetpp,bifurication,0.001,30,grid64,False,mse,0.057983871549367905,0.1771201342344284,0.8677997589111328
pointnetpp,aneurysm2,0.001,30,grid64,False,mse,0.05882040411233902,0.1818145513534546,0.09787125140428543
pointnetpp,aneurysm1,0.001,30,grid64,False,mse,0.05161957070231438,0.16937154531478882,0.21989381313323975
pointnetpp,cylinder,0.001,30,grid64,False,mse,0.05559958145022392,0.1707172840833664,0.9472275376319885
pointnetpp,case_k_003_left,0.001,30,grid128,False,mse,0.1504467874765396,0.24959583580493927,0.6969570517539978
pointnetpp,case_k_008_right,0.001,30,grid128,False,mse,0.047507792711257935,0.15802021324634552,0.834510862827301
pointnetpp,case_m_006_left,0.001,30,grid128,False,mse,0.026980645954608917,0.13073056936264038,0.8773558139801025
pointnetpp,case_w_027_right,0.001,30,grid128,False,mse,0.04638173431158066,0.1673518717288971,0.7955003976821899
pointnetpp,case_w_038_left,0.001,30,grid128,False,mse,0.05501706525683403,0.17788010835647583,0.815839409828186
pointnetpp,aneurysm1,0.001,30,grid128,False,mse,0.029070256277918816,0.1415347456932068,0.8259190917015076
pointnetpp,aneurysm2,0.001,30,grid128,False,mse,0.043888501822948456,0.18206621706485748,0.7720558047294617
pointnetpp,bifurication,0.001,30,grid128,False,mse,0.06063459813594818,0.17304427921772003,0.9037725925445557
pointnetpp,cylinder,0.001,30,grid128,False,mse,0.048900555819272995,0.15584474802017212,0.9822556376457214
pointnetpp,case_k_003_left,0.0001,30,unitcube,True,mse,0.12952525913715363,0.20417962968349457,0.2528195083141327
pointnetpp,case_k_008_right,0.0001,30,unitcube,True,mse,0.03062831610441208,0.12188880145549774,0.3576885759830475
pointnetpp,case_m_006_left,0.0001,30,unitcube,True,mse,0.02243165485560894,0.10961925983428955,0.599064290523529
pointnetpp,case_w_027_right,0.0001,30,unitcube,True,mse,0.03892981633543968,0.14050482213497162,0.264249324798584
pointnetpp,case_w_038_left,0.0001,30,unitcube,True,mse,0.05358899384737015,0.1647007316350937,0.40569767355918884
pointnetpp,bifurication,0.0001,30,unitcube,True,mse,0.006095066200941801,0.0561223030090332,0.8311935067176819
pointnetpp,aneurysm2,0.0001,30,unitcube,True,mse,0.015582066960632801,0.08838309347629547,0.10387752950191498
pointnetpp,aneurysm1,0.0001,30,unitcube,True,mse,0.016388442367315292,0.09675982594490051,0.1977442502975464
pointnetpp,cylinder,0.0001,30,unitcube,True,mse,0.0050368583761155605,0.0476628802716732,0.9331655502319336
pointnetpp,case_k_003_left,0.0001,30,unitcube,False,mse,0.129186749458313,0.20279790461063385,0.25751322507858276
pointnetpp,case_k_008_right,0.0001,30,unitcube,False,mse,0.0305549968034029,0.1239156574010849,0.35376083850860596
pointnetpp,case_m_006_left,0.0001,30,unitcube,False,mse,0.024751268327236176,0.11782244592905045,0.5543807744979858
pointnetpp,case_w_027_right,0.0001,30,unitcube,False,mse,0.040011078119277954,0.14467816054821014,0.2356700748205185
pointnetpp,case_w_038_left,0.0001,30,unitcube,False,mse,0.054441358894109726,0.1655563861131668,0.39387044310569763
pointnetpp,bifurication,0.0001,30,unitcube,False,mse,0.009256499819457531,0.07246523350477219,0.8060846924781799
pointnetpp,aneurysm2,0.0001,30,unitcube,False,mse,0.015656406059861183,0.0925285741686821,0.13286826014518738
pointnetpp,aneurysm1,0.0001,30,unitcube,False,mse,0.01979096047580242,0.10839738696813583,0.1805071383714676
pointnetpp,cylinder,0.0001,30,unitcube,False,mse,0.005999516695737839,0.05798400565981865,0.8881341218948364
pointnetpp,case_k_003_left,0.0001,30,grid64,False,mse,0.16127370297908783,0.27504801750183105,0.6600960493087769
pointnetpp,case_k_008_right,0.0001,30,grid64,False,mse,0.0674818679690361,0.19866928458213806,0.7880843877792358
